106
46
12
63
Student{id=51009057, name=Lindsy Pugsley, gender=male, major=Information System, gpa=4.34}
Student{id=51009070, name=Kirk Colpitts, gender=female, major=Networking, gpa=3.35}
41
63
Student{id=51009007, name=Michaela Steffan, gender=male, major=Networking, gpa=4.89}
Student{id=51009006, name=Ardella Moser, gender=female, major=Networking, gpa=4.29}
Student{id=51009092, name=Celestina Scales, gender=female, major=Networking, gpa=4.91}
Student{id=51009005, name=Kaitlin Cluck, gender=female, major=Information System, gpa=4.93}
Student{id=51009008, name=Yuk Woodhouse, gender=male, major=Information System, gpa=3.02}
3.79
Student{id=51009104, name=Cathy F. Scales, gender=female, major=Computational Intelligent, gpa=1.09}
Student{id=51009104, name=Joanna W. Scales, gender=female, major=Computational Intelligent, gpa=2.49}
Student{id=51009023, name=Sydney Kitson, gender=female, major=Computational Intelligent, gpa=2.52}
Student{id=51009088, name=Joline Valle, gender=male, major=Networking, gpa=2.53}
Student{id=51009075, name=Oscar Younan, gender=female, major=Networking, gpa=2.55}
Student{id=51009001, name=Jerlene Jimmerson, gender=male, major=Networking, gpa=2.58}
Student{id=51009009, name=Elease Engebretson, gender=female, major=Computational Intelligent, gpa=2.58}
Student{id=51009056, name=Odell Grewell, gender=female, major=Networking, gpa=2.58}
Student{id=51009081, name=Alanna Lewey, gender=male, major=Networking, gpa=2.6}
Student{id=51009095, name=Meagan Ravelo, gender=female, major=Networking, gpa=2.6}
Student{id=51009088, name=Joline Valle, gender=male, major=Networking, gpa=2.53}
Student{id=51009001, name=Jerlene Jimmerson, gender=male, major=Networking, gpa=2.58}
Student{id=51009081, name=Alanna Lewey, gender=male, major=Networking, gpa=2.6}
Student{id=51009059, name=Lanette Knisley, gender=male, major=Computational Intelligent, gpa=2.67}
Student{id=51009069, name=Peggy Goines, gender=male, major=Computational Intelligent, gpa=2.67}
Student{id=51009034, name=Ernestina Gassert, gender=male, major=Networking, gpa=2.91}
Student{id=51009103, name=Kevin Wininger, gender=male, major=Networking, gpa=2.96}
Student{id=51009003, name=Shoshana Harrop, gender=male, major=Networking, gpa=3.02}
Student{id=51009008, name=Yuk Woodhouse, gender=male, major=Information System, gpa=3.02}
Student{id=51009050, name=Leena Breeze, gender=male, major=Networking, gpa=3.09}
Student{id=51009008, name=Yuk Woodhouse, gender=male, major=Information System, gpa=3.02}
Student{id=51009002, name=Laura Thaxton, gender=male, major=Information System, gpa=3.57}
Student{id=51009054, name=Jennifer Luc, gender=female, major=Information System, gpa=3.66}
Student{id=51009021, name=Angelo Raulerson, gender=female, major=Information System, gpa=3.83}
Student{id=51009040, name=Anne Skalski, gender=male, major=Information System, gpa=3.97}
Student{id=51009083, name=Ute Printz, gender=male, major=Information System, gpa=4.14}
Student{id=51009071, name=Dolly Mosser, gender=female, major=Information System, gpa=4.15}
Student{id=51009057, name=Lindsy Pugsley, gender=male, major=Information System, gpa=4.34}
Student{id=51009019, name=Rochelle Arthurs, gender=female, major=Information System, gpa=4.53}
Student{id=51009077, name=Delta Shima, gender=female, major=Information System, gpa=4.6}
Student{id=51009085, name=Nelly Gourd, gender=female, major=Networking, gpa=5.0}
Student{id=51009014, name=Sybil Kerns, gender=female, major=Computational Intelligent, gpa=4.97}
Student{id=51009022, name=Lita Weissman, gender=female, major=Computational Intelligent, gpa=4.96}
Student{id=51009027, name=Ophelia Meehan, gender=female, major=Computational Intelligent, gpa=4.96}
Student{id=51009005, name=Kaitlin Cluck, gender=female, major=Information System, gpa=4.93}
Student{id=51009010, name=Dane Cardone, gender=female, major=Networking, gpa=4.93}
Student{id=51009092, name=Celestina Scales, gender=female, major=Networking, gpa=4.91}
Student{id=51009024, name=Marilu Heflin, gender=female, major=Computational Intelligent, gpa=4.82}
Student{id=51009037, name=Pauletta Panos, gender=female, major=Networking, gpa=4.82}
Student{id=51009098, name=Kathaleen Bray, gender=female, major=Networking, gpa=4.77}
Student{id=51009014, name=Sybil Kerns, gender=female, major=Computational Intelligent, gpa=4.97}
Student{id=51009022, name=Lita Weissman, gender=female, major=Computational Intelligent, gpa=4.96}
Student{id=51009027, name=Ophelia Meehan, gender=female, major=Computational Intelligent, gpa=4.96}
Student{id=51009024, name=Marilu Heflin, gender=female, major=Computational Intelligent, gpa=4.82}
Student{id=51009093, name=Danyel Lanning, gender=male, major=Computational Intelligent, gpa=4.74}
Student{id=51009084, name=Ryan Klos, gender=female, major=Computational Intelligent, gpa=4.68}
Student{id=51009064, name=Verdell Hewitt, gender=male, major=Computational Intelligent, gpa=4.66}
Student{id=51009041, name=Marya Auld, gender=female, major=Computational Intelligent, gpa=4.62}
Student{id=51009043, name=Arlie Norling, gender=female, major=Computational Intelligent, gpa=4.57}
Student{id=51009036, name=Elli Larkey, gender=female, major=Computational Intelligent, gpa=4.54}
